,날짜,기사 제목,기사 링크,기사 출처,기사 내용
0,2011-06-05,“헤드윅 아니었다면 뮤지컬 안했을 거예요”,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=028&aid=0002096689,한겨레,"[한겨레]트랜스젠더역 배우 김재욱군입대로 19일 마지막 무대“<헤드윅>이라서 하는 거지, 뮤지컬에 관심 있었던 건 아니에요. 앞으로 뮤지컬은 더 안 할 것 같아요.”뮤지컬 무대에서 능청스럽게 연기하고 자연스럽게 노래하는 배우 김재욱(28·오른쪽 사진)을 떠올린다면, 의외의 말이다. 한번 더 물어도 “뮤지컬 무대에 도전한다거나, 더 하고 싶은 생각이 아직까지는 없다”고 답한다.뮤지컬 <헤드윅>에서 김재욱은 성전환 수술에 실패한 트랜스젠더 가수 ‘헤드윅’(왼쪽)을 연기하고 있다. 주인공에 따라 극 전체가 좌우되는 <헤드윅>에서 김재욱은 조곤조곤한 말투로 자기 이야기를 들려주고 목소리에 힘을 실어 록을 노래한다. “저한테 헤드윅은 그이자 그녀예요. 둘 다예요”라는 말처럼 그의 <헤드윅>은 체념 끝에 모든 일에 달관한 노파의 모노드라마 같기도 하고, 분노에 휩싸인 20대 청년 로커의 콘서트 같기도 하다.김재욱은 처음 뮤지컬의 원작인 영화 <헤드윅>을 보고 팬이 됐다. 한국에서 뮤지컬로 만들어진다는 이야기를 듣고 연기해보고 싶었다. 그는 원래 ‘낯설고 불편한’ 트랜스젠더로서의 헤드윅을 표현하고 싶었다 한다. “공연을 시작할 때 처음에  ‘소개합니다, 헤드윅’이라고 하면, 무대에선 환호성이 나와요. 그 순간 제가 하고 싶은 헤드윅은 표현이 안 돼요. 트랜스젠더라는 성소수자의 위치가 어딜 가든 환영받는 존재가 아닌데 이 무대에선 환영을 받는 거죠.” 불편함을 놓진 않았지만, 관객과 마주한 뮤지컬 무대에서 직접적인 소통이 중요하단 걸 알게 됐다.2008년 드라마 <서양골동양과자점 앤티크>에서 게이 역을 맡기도 한 그이기에 성소수자로서 헤드윅의 존재에 대해서도 남다른 생각을 했을 법하다. “성소수자들 삶이나 위치에 대해 생각을 하긴 하는데, 그들을 바라보는 한국 사회가 더 재밌는 것 같아요. 학교에서 도덕적으로 가르치는, 이건 나쁜 거다란 식의 주입식 교육에 침식돼서, ‘다른 존재’들을 손가락질할 자격이 (우리한테) 있나 싶어요.”“관객분들이 눈앞에 정체불명의 트랜스젠더가 자기 얘기를 하고 있구나, 느끼면 좋겠다”는 김재욱은 19일까지 <헤드윅>에 출연한다. 군 입대 때문에 예정된 스케줄이다. 첫 공연 이후 객석점유율 90% 이상을 기록하고 있는 <헤드윅>에는 김재욱 말고도 그룹 신화의 김동완, 뮤지컬 배우 조정석, 최재웅 등이 출연한다. 8월24일까지 케이티앤지(KT&G) 상상아트홀. (02)3404-4311.박보미 기자bomi@hani.co.kr사진 쇼노트 제공공식 SNS[통하니][트위터][미투데이]| 구독신청[한겨레신문][한겨레21]Copyrights ⓒ 한겨레신문사, 무단전재 및 재배포 금지<한겨레는 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
1,2011-06-05,꺼지지 않는 '반값 등록금' 촛불,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0005098508,연합뉴스,"(서울=연합뉴스) 김주성 기자 = 5일 밤 서울 광화문광장 인근에서 대학생들이 반값등록금의 즉각적인 시행을 촉구하는 촛불문화제를 열고 있다. 2011.6.5utzza@yna.co.kr<뉴스의 새 시대, 연합뉴스 Live><모바일 애플리케이션><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
2,2011-06-05,"쓰나미도 끄덕없다…일본, 노아의 방주 등장",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=055&aid=0000206437,SBS,"<8뉴스><앵커>대지진과 쓰나미의 공포를 경험한 일본에서 현대판 '노아의 방주'가 등장했습니다.김광현 특파원이 이 방주에 직접 타봤습니다.<기자>일본을 할퀴고 간 거대한 쓰나미.피할 겨를도 없이 수많은 사람들이 숨져갔습니다.쓰나미 공포가 극에 달하면서 우주선 모양의 미니 방주까지 등장했습니다.강철로 만들어 2.7톤의 압력을 견딜 수 있고, 특수 압축유리로 만든 창문은 해머로 쳐도 깨지지 않습니다.[야마모토/미니 방주 제작자 : (쓰나미를) TV를 통해 본 순간 노아의 방주에서 힌트를 얻어 사람들을 구하기 위해 만들었습니다.]미니 방주 안에는 휴대용 산소 캔과 라디오, 비상식량 등이 준비돼 있습니다.방주에 탄 뒤에는 이렇게 문을 닫고 안전벨트를 채운 뒤 위에 있는 손잡이를 잡도록 돼 있습니다.미니 방주는 물에 잠기면 곧바로 떠오르고,  옆으로 기울어져도 오뚜기처럼 바로 서도록 만들어졌습니다.2인용이 우리 돈 5백만 원이나 되지만 벌써부터 정부기관과 유치원 등에서 구입 문의가 잇따르고 있습니다.[미즈야/구입 희망자 : 집이 무너져도 이 안에 들어오면 이 안에 있으면 괜찮기 때문에 사고 싶네요.]각종 재해에 대비한 비상대피용 강력 알루미늄 가방과 휴대용 방사능 측정기 등도 불티나게 팔리는 등 여진과 쓰나미에 대한 공포가 일본인들의 일상을 변화시키고 있습니다.(영상취재 : 안병욱)김광현teddykim@sbs.co.kr관/련/정/보◆ ""일본 원전 1호기 압력용기 심하게 손상된 듯""◆ ""한중일 등 17개국, 태평양 방사능 오염 조사""◆ 일 원자력 안전 보안원, 원전사고 핵심정보 은폐◆ 후쿠시마 원전 근처에서 '규모 5.6' 지진 발생◆ ""일본, 3월 대지진 여파로 145개 기업 문 닫아""☞[SBS기자들의 생생한 취재현장 뒷이야기 '취재파일']☞ SBS뉴스 공식 SNS [SBS8News 트위터] [페이스북] [미투데이] [요즘]저작권자 SBS&SBS콘텐츠허브 무단복제-재배포 금지"
3,2011-06-05,듣기만 해도 살이 빠진다?…건강 챙기는 노래,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=055&aid=0000206439,SBS,"<8뉴스><앵커>'듣기만 해도 살이 빠지는 노래', '고지혈증송', 다이어트나 성인병에 대한 건강정보를 노래로 만들어 알리는 의사가 있어서 소개해 드립니다.박상진 기자입니다.<기자>이색적인 노래 가사가 청중들의 호기심을 자극합니다.[다이어트 할때에는 단백질을 주로 먹어 두부 우유 삶은 계란 생선 연어 닭가슴살][고지혈증 혈관벽이 기름으로 좁아지는 병]이 노래를 만들고 부른 사람은 내과 의사 38살 이진호 씨.의대 재학시절 인디밴드 경험을 살려 의학 상식을 노래에 담았습니다.'듣기만 해도 살빠지는 노래', '고지혈증', '이겨내요, 당뇨' 같은 제목에서 알 수 있듯이 비만과 각종 질환에 대한 대처법을 노래에 실었습니다.[이진호/의사 겸 가수 : 멜로디에다가 핵심적인 내용만 이렇게 실으면 환자분들이 이해가  빠르지 않을까.]환자들도 노래를 통해 접하는 건강정보가 딱딱한 설명보다 더 친근하게 다가온다고 말합니다.[이선미/서울 방학동 : 건강상식을 이렇게 노래로 해주시니까 더 머릿속에  쏙쏙 잘 들어오고요, 그리고 노래가 계속 입으로 흥얼흥얼 댈 것 같아요.]이 씨는 환자들이 용기를 얻고 건강에 좋은 생활습관을 가질 수 있도록 건강 정보를 담은 노래를 계속하겠다고 다짐했습니다.(영상취재 : 박영철, 서진호, 영상편집 : 문상민)박상진njin@sbs.co.kr관/련/정/보◆ [건강] '아찔한 각선미' 만드는 걷기 따로있다!◆ [건강] '찌릿찌릿' 부러진 코뼈, 제대 치료해야◆ [건강] ""임신 중 지방 많이 먹으면 아이 당뇨병""◆ [건강] 심하면 자살까지…우울증 예방법은◆ [건강] 진행형 탈모, 가장 확실한 치료 방법은☞[SBS기자들의 생생한 취재현장 뒷이야기 '취재파일']☞ SBS뉴스 공식 SNS [SBS8News 트위터] [페이스북] [미투데이] [요즘]저작권자 SBS&SBS콘텐츠허브 무단복제-재배포 금지"
4,2011-06-05,휴일 참변..남해서 관광버스 추락,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0005098107,연합뉴스,"(남해=연합뉴스) 연휴 이틀째인 5일 경남 남해군 삼동면 봉화리 독일마을 인근 내리막 도로를 달리던 관광버스가 도로 옆 3ｍ 아래 논으로 전도돼 2명이 숨지고 44명이 중경상을 입었다. 2011.6.5 <<지방기사 참고.남해소방서>>pitbull@yna.co.kr<뉴스의 새 시대, 연합뉴스 Live><모바일 애플리케이션><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
5,2011-06-05,'민병철發' 선플운동 4년…'착한 댓글' 130만개,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0005098101,연합뉴스,"선플 장학금 수여    (서울=연합뉴스) 이영주 기자 = 13일 오전 서울 종로구 역사박물관 앞에서 열린 '선플로 만드는 화목한 가정 캠페인'에서 민병철 건국대 교수가 용인성지고등학교 정민희(오른쪽), 윤선영 학생에게 선플 장학금을 수여한 뒤 기념촬영을 하고 있다. 2011.4.13    young86@yna.co.kr운동본부, 이달 전국 돌며 거리 캠페인(서울=연합뉴스) 김계연 기자 = 사단법인 선플달기국민운동본부(이사장 민병철 건국대 교수)는 '정보문화의 달'인 이달 말까지 전국을 돌며 '선플달기 캠페인'을 한다고 5일 밝혔다.선플은 악플과 반대 의미로, 인터넷에서 서로를 칭찬ㆍ격려해주는 댓글을 말한다운동본부는 이날 반딧불축제가 열리는 전북 무주군에서 이 지역 중ㆍ고등학생들이 참가한 가운데 ""악성 댓글을 지양하고 선플을 달자""며 거리 캠페인을 벌였다.'민병철發 선플 열풍'…100만건 돌파 콘서트    (서울 선플운동본부=연합뉴스) 사단법인 선플달기국민운동본부(이사장 민병철 건국대 교수)는 화희오페라단과 선플 100만건 돌파를 기념하는 `오페라 갈라 콘서트'를 26일 열었다. 뒷줄 왼쪽부터 한동권 미래테크윈 회장, 선플운동본부 공동대표인 탤런트 이순재씨, 선플운동본부 이사장 민병철 건국대 교수, 강윤수 화희오페라단 단장, 박인주 청와대 사회통합수석비서관, 선플운동본부 국제담당 이사 더스티 한국교원대 교수. 2011.2.27. <<사회부 기사 참고>>    yjkim84@yna.co.kr본부는 앞서 3일 경남 통영과 고성, 4일 전북 부안에서 시민을 상대로 '선플 달기'를 호소했고 이달 말까지 전국 20여개 지역에서 300여개 학교 및 단체와 함께 선플 문화를 확산하는 데 힘쓸 계획이다.민병철 교수는 잘못된 인터넷 문화를 바로잡고자 2007년 5월 운동본부를 꾸려 그동안 선플달기 운동을 벌여왔다.선플운동 홈페이지(http://www.sunfull.or.kr)의 선플달기 게시판과 선플문자 보내기, 선플 서명, 영어ㆍ중국어ㆍ일본어로 된 외국어 선플 게시판에 달린 '착한 댓글'은 이날 오후 3시 현재 130만1천여건을 기록하고 있다.선플을 달 때마다 10원씩 모아 선플을 많이 다는 학생에게 장학금을 주는 '선플 기부 캠페인' 적립금도 4천만원을 넘어섰다.운동본부 관계자는 ""최근 무분별한 댓글 문화에 대한 관심과 우려가 다시 높아지고 있어 이번 캠페인이 큰 의미가 있다""며 ""선플을 달아 사이버 폭력을 줄이고 건전한 인터넷 문화를 만들겠다""고 말했다.선플달기운동본부 민병철 이사장(고양=연합뉴스) 우영식 기자 = (사)선플달기국민운동본부 이사장인 민병철 건국대 교수가 21일 경기도 고양시 능곡중학교에서 열린 100만개 선플 달성 기념식이 끝난 뒤 선플운동의 의미에 대해 설명하고 있다. <<지방기사 참고>> 2010.12.21wyshik@yna.co.krtele@yna.co.kr[관련기사]▶ 전국 학생 47명에게 첫 '선플' 장학금(종합)▶ '민병철發 선플 열풍'…100만건 돌파 콘서트<뉴스의 새 시대, 연합뉴스 Live><모바일 애플리케이션><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
6,2011-06-05,'6월 개장' 해운대 피서객 북새통,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=001&aid=0005098050,연합뉴스,"(부산=연합뉴스) 조정호 기자 = 6월 첫째 일요일인 5일 부산 해운대해수욕장에서 피서객들이 물놀이를 즐기는 등 더위를 식히고 있다. 이날 해운대에는 다양한 모래조각을 선보이는 모래축제가 열려 30만명의 인파가 몰렸다. 부산에서는 지난 1일 해운대와 광안리, 송도해수욕장이 사계절 해수욕장으로 활성화하는 차원에서 예년 보다 한 달 일찍 문을 열었다. 2011.6.5.ccho@yna.co.kr<뉴스의 새 시대, 연합뉴스 Live><모바일 애플리케이션><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
7,2011-06-05,'아찔한 차량 전복사고',https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=079&aid=0002257037,노컷뉴스,[노컷뉴스 한재호 기자]5일 자정 무렵 서울 서대문구 신촌동 금화터널에서 연세대학교 방면으로 달리던 코란도 차량이 터널을 빠져나오던 중 가드레일을 들이받고 전복되는 사고가 발생한 가운데 경미한 부상을 입은 운전자가 사고 직후 차량을 빠져나와 출동한 경찰과 사고처리를 하고 있다.올 초 터널 안 보행로를 설치하면서 봉원사 방면으로 향하는 고가 옆 진입로가 좁아진데다 커브까지 급해져 사고현장에서는 지난 4월에도 비슷한 차량 충돌사고로 가드레일이 부서지고 운전자가 부상을 입는 등 사고가 빈번해 대책 마련이 시급하다는 지적이 나오고 있다.kali@cbs.co.kr(대한민국 중심언론 CBS  뉴스FM98.1 / 음악FM93.9 / TV CH 412)<저작권자 ⓒ CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지 >
8,2011-06-05,최신예 전투훈련기 TA-50 첫선!,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=052&aid=0000357352,YTN,"[앵커멘트]우리 공군의 주력 전투기 KF-16과 대등한 성능을 지닌 전투훈련기,TA-50이 도입됐습니다.기존 훈련기와 달리 최신예 전투기에 탑재되는 레이더와 공대공 미사일까지 갖춰 큰 훈련성과가 기대됩니다.TA-50이 첫선을 보인 현장에 배성준 기자가 다녀왔습니다.[리포트]활주로에 선 항공기가 불꽃을 뿜으며 이륙합니다.엔진 굉음이 사라지기도 전에 은빛 동체는 하늘 저편으로 모습을 감춥니다.우리 공군이 도입을 시작한 최신예 전투훈련기인 TA-50입니다.주력 전투기인 KF-16과 대등한 기동 성능을 갖춘데다, 기존 훈련기와 달리 무장과 레이더까지 장착했습니다.공대공과 공대지 유도탄을 갖추고 있고, 재래식 무기와 20mm 기총까지 있습니다.여기에 KF-16급 최정밀 레이더로 60km 밖의 적기를 탐지하고 40km 거리의 적기를 미사일로 격추시키는 것이 가능합니다이런 우수한 성능 덕분에 전투훈련기로 탄생했지만, 실전에서 후방지역 항공지원까지 활용이 가능합니다.또 실전 같은 훈련으로 조종사들이 실제 부대에 배치돼 받아야 하는 전투 작전 훈련도 1/3로 줄어듭니다.[인터뷰:김성훈, 제16 전투비행단]""최신예 전투기를 운용할 수 있는 운용능력을 배양함으로서 최신예 전투기 대대로 배속했을 때 충분한 효과를 발휘할 수가 있기 때문에 실제 전투대대에서는 그만큼 훈련 소요가 적어지고...""공군은 다음해 전반기에 TA-50 입문과정이 시작되면 연간 80여 명의 조종사를 배출해 F-15K 와 KF-16를 운용하는 비행단에 배치합니다.공군은 우리 손으로 자체 제작한 TA-50을 20여 대 도입하고, TA-50에 첨단 무기를 장착한 개량형 FA-50도 60여 대를 들여올 계획입니다.YTN 배성준입니다.[관련기사]▶ 국내 첫 기뢰 제거 로봇 개발▶ 두 번째 이지스 구축함 '율곡이이함' 작전배치▶ '1대당 200억!' T-50이 뭐길래?▶ 휴대용 대공유도무기 '신궁'의 위력은?▶ 서울 상공 지키는 '대공포'...불량 부품 사용해 '두 동강'☞ [다운로드] 생방송과 뉴스속보를 한 눈에...YTN뉴스ON☞ YTN 긴급속보를 SMS로!☞ 스마트폰으로 즐기는 24시간 뉴스의 세계...YTN 어플리케이션[저작권자(c) YTN & Digital YTN. 무단 전재-재배포 금지]"
9,2011-06-05,넘어진 시민,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0005097683,연합뉴스,"(서울=연합뉴스)  최종호 기자 = 4일 서울 종로구 세종로 KT광화문점 앞에서 열린 반값등록금 시위 도중 한 시민이 경찰에 밀려 넘어져 있다.  2011.6.5zorba@yna.co.kr<뉴스의 새 시대, 연합뉴스 Live><모바일 애플리케이션><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
